,Date,Volume,Open,High,Low,Close,Median
0,20.1.34-07 21:00:00,409075,13598.99,13656.42,13528.33,13637.24,13592.375
1,20.1.34-08 21:00:00,388354,13637.24,13805.29,13631.17,13804.24,13718.23
2,20.1.34-09 21:00:00,420700,13804.24,13857.015,13664.31,13825.06,13760.662499999999
3,20.1.34-12 21:00:00,450473,13825.06,13848.02,13747.98,13840.02,13798.0
4,20.1.34-13 21:00:00,440526,13840.02,14009.64,13788.81,13991.19,13899.224999999999
5,20.1.34-14 21:00:00,539907,13991.19,14044.98,13789.07,13842.62,13917.025
6,20.1.34-15 21:00:00,432433,13842.62,14049.58,13805.31,14014.65,13927.445
7,20.1.34-16 21:00:00,418880.1.314.65,14074.99,13968.48,14034.56,14021.735
8,20.1.34-19 21:00:00,576702,14034.56,14068.36,13837.29,13909.17,13952.825
9,20.1.34-20 21:00:00,588621,13909.17,13949.65,13735.47,13750.59,13842.56
10,20.1.34-21 21:00:00,490811,13750.59,13942.7,13716.81,13907.68,13829.755000000001
11,20.1.34-22 21:00:00,591221,13907.68,13959.92,13718.12,13778.14,13839.02
12,20.1.34-23 21:00:00,388678,13778.14,13997.41,13755.06,13931.73,13876.235
13,20.1.34-26 21:00:00,398618,13931.73,14054.415,13882.34,14037.3,13968.3775
14,20.1.34-27 21:00:00,376285,14037.3,14064.715,13929.35,13967.28,13997.032500000001
15,20.1.34-28 21:00:00,455987,13967.28,14009.295,13894.69,13985.23,13951.9925
16,20.1.34-29 21:00:00,495123,13985.23,14080.74,13835.34,13961.41,13958.04
17,20.1.34-30 21:00:00,515488,13961.41,13973.1,13836.16,13883.52,13904.630000000001
18,20.1.35-03 21:00:00,440320,13883.52,13963.11,13787.67,13801.47,13875.39
19,20.1.35-04 21:00:00,583271,13801.47,13807.645,13396.62,13536.83,13602.1325
20,20.1.35-05 21:00:00,449744,13536.83,13680.28,13479.12,13500.03,13579.7
21,20.1.35-06 21:00:00,548623,13500.03,13625.66,13403.87,13619.05,13514.765
22,20.1.35-07 21:00:00,486504,13619.05,13828.93,13600.08,13729.11,13714.505000000001
23,20.1.35-10 21:00:00,507046,13729.11,13763.57,13317.54,13322.67,13540.555
24,20.1.35-11 21:00:00,770131,13322.67,13387.42,13077.54,13328.75,13232.48
25,20.1.35-12 21:00:00,804452,13328.75,13363.34,12971.42,12975.86,13167.380000000001
26,20.1.35-13 21:00:00,780693,12975.86,13234.82,12926.49,13101.77,13080.654999999999
27,20.1.35-14 21:00:00,445521,13101.77,13436.57,13082.28,13403.93,13259.425
28,20.1.35-17 21:00:00,565798,13403.93,13457.875,13192.83,13322.49,13325.3525
29,20.1.35-18 21:00:00,436367,13322.49,13441.77,13188.52,13197.14,13315.145
30,20.1.35-19 21:00:00,743029,13197.14,13248.994999999999,12960.99,13225.28,13104.9925
31,20.1.35-20 21:00:00,441152,13225.28,13529.21,13158.1,13495.17,13343.654999999999
32,20.1.35-21 21:00:00,434419,13495.17,13575.634999999998,13402.18,13416.8,13488.9075
33,20.1.35-24 21:00:00,303596,13416.8,13692.17,13363.03,13657.03,13527.6
34,20.1.35-25 21:00:00,376728,13657.03,13744.69,13613.25,13675.13,13678.970000000001
35,20.1.35-26 21:00:00,301075,13675.13,13734.96,13662.68,13709.74,13698.82
36,20.1.35-27 21:00:00,340116,13709.74,13726.88,13626.76,13699.26,13676.82
37,20.1.35-28 21:00:00,279317,13699.26,13768.83,13668.34,13698.87,13718.585
38,20.1.35-31 21:00:00,72186,13698.87,13724.78,13656.87,13659.87,13690.825
39,20.1.36-01 21:00:00,328947,13659.87,13778.21,13598.76,13653.4,13688.485
40,20.1.36-02 21:00:00,332780,13653.4,13717.91,13608.71,13683.32,13663.31
41,20.1.36-03 21:00:00,426206,13683.32,13710.445,13465.43,13533.67,13587.9375
42,20.1.36-04 21:00:00,314478,13533.67,13785.3,13469.34,13760.76,13627.32
43,20.1.36-07 21:00:00,337981,13760.76,13824.975,13693.23,13824.68,13759.1025
44,20.1.36-08 21:00:00,383873,13824.68,13918.33,13744.02,13813.89,13831.175
45,20.1.36-09 21:00:00,326397,13813.89,13905.71,13806.05,13813.45,13855.88
46,20.1.36-10 21:00:00,335190,13813.45,13977.63,13728.4000000000.1.33974.37,13853.015
47,20.1.36-11 21:00:00,305441,13974.37,13998.9,13933.39,13994.99,13966.145
48,20.1.36-14 21:00:00,331275,13994.99,14133.28,13965.42,14117.09,14049.35
49,20.1.36-15 21:00:00,382311,14117.09,14162.56,14009.49,14046.26,14086.025
50,20.1.36-16 21:00:00,398777,14046.26,14103.32,13840.395,13939.78,13971.8575
51,20.1.36-17 21:00:00,430421,13939.78,14209.645,13850.12,14188.15,14029.8825
52,20.1.36-18 21:00:00,450458,14188.15,14224.25,14029.93,140.1.34,14127.09
53,20.1.36-21 21:00:00,442658,140.1.34,14162.03,13977.17,14154.88,14069.6
54,20.1.36-22 21:00:00,356426,14154.88,14297.09,14084.72,14287.35,14190.904999999999
55,20.1.36-23 21:00:00,320891,14287.35,14333.28,14249.88,14292.53,14291.58
56,20.1.36-24 21:00:00,313180.1.392.53,14439.67,14288.06,14376.53,14363.865
57,20.1.36-25 21:00:00,306502,14376.53,14411.7,14331.08,14341.94,14371.39
58,20.1.36-28 21:00:00,298402,14341.94,14537.1,14351.26,14520.9,14444.18
59,20.1.36-29 21:00:00,289880,14520.9,14602.14,14486.75,14599.57,14544.445
60,20.1.36-30 21:00:00,313910,14599.57,14615.9,14535.66,14573.1,14575.779999999999
61,20.1.37-01 21:00:00,328486,14573.1,14621.71,14488.25,14557.25,14554.98
62,20.1.37-02 21:00:00,2950.1.34557.25,14744.35,14529.18,14727.21,14636.765
63,20.1.37-05 21:00:00,86083,14727.21,14737.85,14690.895,14708.82,14714.372500000001
64,20.1.37-06 21:00:00,373891,14708.82,14804.99,14641.38,14779.25,14723.185
65,20.1.37-07 21:00:00,385302,14779.25,14898.44,14741.3,14824.44,14819.869999999999
66,20.1.37-08 21:00:00,535476,14824.44,14836.46,14558.94,14728.13,14697.7
67,20.1.37-09 21:00:00,355604,14728.13,14847.31,14656.63,14827.38,14751.97
68,20.1.37-12 21:00:00,319467,14827.38,14903.33,14800.37,14891.08,14851.85
69,20.1.37-13 21:00:00,362268,14891.08,15009.78,14809.78,14879.29,14909.78
70,20.1.37-14 21:00:00,393016,14879.29,150.1.34,14856.73,14911.11,14933.885
71,20.1.37-15 21:00:00,468561,14911.11,14977.9,14723.81,14791.34,14850.855
72,20.1.37-16 21:00:00,433258,14791.34,14884.89,14673.28,14681.74,14779.085
73,20.1.37-19 21:00:00,635259,14681.74,14698.02,14460.63,14608.27,14579.325
74,20.1.37-20 21:00:00,452166,14608.27,14797.6,14533.96,14742.97,14665.779999999999
75,20.1.37-21 21:00:00,369755,14742.97,14854.79,14683.73,14853.68,14769.26
76,20.1.37-22 21:00:00,341544,14853.68,14998.05,14842.39,14992.87,14920.22
77,20.1.37-23 21:00:00,319694,14992.87,15133.18,14950.34,15111.62,15041.76
78,20.1.37-26 21:00:00,359880.1.311.62,15148.88,15054.46,15139.71,15101.669999999998
79,20.1.37-27 21:00:00,524604,15139.71,15146.61,14789.78,14898.97,14968.195
80,20.1.37-28 21:00:00,524781,14898.97,15089.545,14882.015,14999.89,14985.779999999999
81,20.1.37-29 21:00:00,370689,14999.89,15099.04,14920.175,14928.85,15009.6075
82,20.1.37-30 21:00:00,458517,14928.85,14994.66,14826.68,14983.81,14910.67
83,20.1.38-02 21:00:00,440661,14983.81,150.1.32,14947.69,14975.44,15009.355
84,20.1.38-03 21:00:00,436481,14975.44,15065.18,14864.48,15050.32,14964.83
85,20.1.38-04 21:00:00,385609,15050.32,15124.48,15013.939999999999,15097.71,15069.21
86,20.1.38-05 21:00:00,294308,15097.71,15187.349999999999,15085.01,15186.89,15136.18
87,20.1.38-06 21:00:00,320161,15186.89,15182.29,15060.89,15101.14,15121.59
88,20.1.38-09 21:00:00,298321,15101.14,15158.240000000002,15016.32,15139.99,15087.28
89,20.1.38-10 21:00:00,340255,15139.99,15169.42,15007.189999999999,15059.7,15088.305
90,20.1.38-11 21:00:00,369998,15059.7,15131.04,14975.66,15020.6,15053.35
91,20.1.38-12 21:00:00,280794,15020.6,15102.7,14953.96,15091.35,15028.33
92,20.1.38-13 21:00:00,246939,15091.35,15152.45,15066.4000000000.1.35136.05,15109.425000000001
93,20.1.38-16 21:00:00,390473,15136.05,15149.6300000000.1.34928.24,15145.17,15038.935000000001
94,20.1.38-17 21:00:00,524324,15145.17,15142.865,14906.71,14978.24,15024.787499999999
95,20.1.38-18 21:00:00,455515,14978.24,15043.86,14813.17,14845.25,14928.515
96,20.1.38-19 21:00:00,649556,14845.25,15005.56,14717.57,14949.98,14861.564999999999
97,20.1.38-20 21:00:00,445090,14949.98,15105.85,14857.765,15099.93,14981.807499999999
98,20.1.38-23 21:00:00,301341,15099.93,15343.7200000000.1.35094.355,15334.65,15219.0375
99,20.1.38-24 21:00:00,288787,15334.65,15390.27,15315.740000000002,15369.05,15353.005000000001
100,20.1.38-25 21:00:00,293327,15369.05,15402.869999999999,15339.31,15373.29,15371.09
101,20.1.38-26 21:00:00,427231,15373.29,15374.0600000000.1.35262.35,15293.2,15318.205000000002
102,20.1.38-27 21:00:00,308935,15293.2,15449.7200000000.1.35271.57,15431.52,15360.645
103,20.1.38-30 21:00:00,270904,15431.52,15623.59,15426.36,15612.54,15524.975
104,20.1.38-31 21:00:00,402024,15612.54,15683.099999999999,15524.335,15605.29,15603.717499999999
105,20.1.39-01 21:00:00,329564,15605.29,15700.24,15583.61,15615.79,15641.925
106,20.1.39-02 21:00:00,338246,15615.79,15684.42,15554.61,15602.44,15619.515
107,20.1.39-03 21:00:00,332204,15602.44,15678.105,15553.82,15653.18,15615.9625
108,20.1.39-06 21:00:00,89950,15653.18,15709.84,15643.84,15702.369999999999,15676.84
109,20.1.39-07 21:00:00,343674,15702.369999999999,15703.4000000000.1.35608.65,15672.73,15656.025000000001
110,20.1.39-08 21:00:00,432513,15672.73,15692.1500000000.1.35525.1,15611.01,15608.625
111,20.1.39-09 21:00:00,411164,15611.01,15677.21,15547.439999999999,15564.08,15612.324999999999
112,20.1.39-10 21:00:00,350949,15564.08,15668.7200000000.1.35434.6,15454.17,15551.66
113,20.1.39-13 21:00:00,477185,15454.17,15566.24,15351.945,15453.52,15459.092499999999
114,20.1.39-14 21:00:00,405209,15453.52,15530.43,15352.68,15396.22,15441.555
115,20.1.39-15 21:00:00,372937,15396.22,15521.52,15315.7,15515.73,15418.61
116,20.1.39-16 21:00:00,347436,15515.73,15541.65,15369.4700000000.1.35506.9,15455.560000000001
117,20.1.39-17 21:00:00,442502,15506.9,15549.33,15297.6,15307.98,15423.465
118,20.1.39-20 21:00:00,540239,15307.98,15359.27,14828.74,15012.97,15094.005000000001
119,20.1.39-21 21:00:00,515657,15012.97,15184.46,14985.08,15013.58,15084.77
120,20.1.39-22 21:00:00,446766,15013.58,15246.27,14950.27,15198.64,15098.27
121,20.1.39-23 21:00:00,381886,15198.64,15365.54,15195.29,15316.33,15280.415
122,20.1.39-24 21:00:00,392179,15316.33,15353.69,15196.619999999999,15339.77,15275.154999999999
123,20.1.39-27 21:00:00,421462,15339.77,15418.64,15104.2200000000.1.35191.05,15261.43
124,20.1.39-28 21:00:00,593994,15191.05,15211.365000000002,14761.735,14787.22,14986.550000000001
125,20.1.39-29 21:00:00,528130,14787.22,14945.4000000000.1.34730.91,14783.56,14838.155
126,20.1.39-30 21:00:00,599553,14783.56,14902.740000000002,14695.79,14711.58,14799.265000000001
127,20.1.30-01 21:00:00,566184,14711.58,14836.71,14557.01,14786.5600000000.1.34696.86
128,20.1.30-04 21:00:00,622541,14786.5600000000.1.34853.6300000000.1.34386.8,14507.25,14620.215
129,20.1.30-05 21:00:00,476970,14507.25,14770.74,14427.14,14677.56,14598.939999999999
130,20.1.30-06 21:00:00,624515,14677.56,14786.119999999999,14439.619999999999,14782.87,14612.869999999999
131,20.1.30-07 21:00:00,403496,14782.87,15017.279999999999,14783.66,14906.97,14900.47
132,20.1.30-08 21:00:00,455942,14906.97,15011.95,14807.35,14819.04,14909.650000000001
133,20.1.30-11 21:00:00,465249,14819.04,14913.65,14693.7200000000.1.34701.25,14803.685000000001
134,20.1.30-12 21:00:00,506519,14701.25,14799.57,14602.349999999999,14614.7,14700.96
135,20.1.30-13 21:00:00,438117,14614.7,14809.55,14608.240000000002,14784.57,14708.895
136,20.1.30-14 21:00:00,298436,14784.57,15088.02,14784.265,15082.38,14936.1425
137,20.1.30-15 21:00:00,336602,15082.38,15158.3,15037.83,15157.89,15098.064999999999
138,20.1.30-18 21:00:00,352772,15157.89,15313.8800000000.1.35055.689999999999,15305.22,15184.785
139,20.1.30-19 21:00:00,308254,15305.22,15445.02,15286.825,15427.43,15365.9225
140,20.1.30-20 21:00:00,351326,15427.43,15462.99,15336.01,15373.85,15399.5
141,20.1.30-21 21:00:00,347454,15373.85,15500.56,15318.1500000000.1.35397.46,15409.355
142,20.1.30-22 21:00:00,414650,15397.46,15480.2200000000.1.35291.08,15337.59,15385.650000000001
143,20.1.30-25 21:00:00,379561,15337.59,15562.8,15313.55,15560.59,15438.175
144,20.1.30-26 21:00:00,437034,15560.59,15717.6,15520.02,15539.06,15618.810000000001
145,20.1.30-27 21:00:00,451884,15539.06,15734.04,15524.369999999999,15609.13,15629.205
146,20.1.30-28 21:00:00,448969,15609.13,15793.2,15608.869999999999,15687.37,15701.035
147,20.1.30-29 21:00:00,435939,15687.37,15875.6500000000.1.35611.0,15867.47,15743.325
148,20.1.31-01 21:00:00,357625,15867.47,15930.2,15784.42,15904.02,15857.310000000001
149,20.1.31-02 21:00:00,320662,15904.02,15995.8,15865.33,15973.8,15930.564999999999
150,20.1.31-03 21:00:00,335727,15973.8,16161.06,15950.98,16147.02,16056.02
151,20.1.31-04 21:00:00,367267,16147.02,16391.260000000002,16143.735,16353.63,16267.497500000001
152,20.1.31-05 21:00:00,389681,16353.63,16459.6,16303.75,16350.54,16381.675
153,20.1.31-08 22:00:00,371899,16350.54,16404.480000000003,16271.755,16334.56,16338.1175
154,20.1.31-09 22:00:00,462850,16334.56,16402.92,16171.6300000000.1.36208.51,16287.275
155,20.1.31-10 22:00:00,496178,16208.51,16253.67,15909.65,15996.25,16081.66
156,20.1.31-11 22:00:00,368842,15996.25,16123.349999999999,15985.75,16046.99,16054.55
157,20.1.31-12 22:00:00,344992,16046.99,16222.93,16011.785,16212.3,16117.3575
158,20.1.31-15 22:00:00,351715,16212.3,16285.33,16093.3,16205.22,16189.314999999999
159,20.1.31-16 22:00:00,3270.1.36205.22,16331.3800000000.1.36150.2,16301.45,16240.79
160,20.1.31-17 22:00:00,353850,16301.45,16400.86,16274.44,16326.3800000000.1.36337.650000000001
161,20.1.31-18 22:00:00,411578,16326.3800000000.1.36512.1,16309.41,16509.03,16410.754999999997
162,20.1.31-19 22:00:00,448572,16509.03,16632.61,16494.739999999998,16587.39,16563.675
163,20.1.31-22 22:00:00,492312,16587.39,16770.46,16369.39,16403.23,16569.925
164,20.1.31-23 22:00:00,626419,16403.23,16423.08,16123.07,16302.85,16273.075
165,20.1.31-24 22:00:00,462644,16302.85,16372.58,16106.98,16359.18,16239.779999999999
166,20.1.31-25 22:00:00,78934,16359.18,16439.29,16356.1300000000.1.36409.79,16397.71
167,20.1.31-26 22:00:00,524733,16409.79,16417.04,15992.725,16046.475,16204.8825
168,20.1.31-29 22:00:00,524013,16046.475,16441.809999999998,16049.42,16418.23,16245.614999999998
169,20.1.31-30 22:00:00,661086,16418.23,16459.120000000003,16072.69,16242.74,16265.905000000002
170,20.1.32-01 22:00:00,618060.1.342.74,16431.269999999997,15830.275,15863.68,16130.7725
171,20.1.32-02 22:00:00,687991,15863.68,16069.18,15766.32,16018.62,15917.75
172,20.1.32-03 22:00:00,672697,16018.62,16121.96,15539.3,15683.71,15830.63
173,20.1.32-06 22:00:00,565374,15683.71,15898.35,15563.14,15851.07,15730.744999999999
174,20.1.32-07 22:00:00,385501,15851.07,16375.54,15825.55,16367.04,16100.545
175,20.1.32-08 22:00:00,420461,16367.04,16425.14,16253.35,16383.52,16339.244999999999
176,20.1.32-09 22:00:00,441443,16383.52,16421.11,16121.8800000000.1.36156.38,16271.495
177,20.1.32-10 22:00:00,357305,16156.38,16336.39,16134.81,16318.68,16235.599999999999
178,20.1.32-13 22:00:00,436584,16318.68,16412.0.1.365.55,16094.39,16238.775
179,20.1.32-14 22:00:00,503221,16094.39,16133.83,15739.61,15928.93,15936.720000000001
180,20.1.32-15 22:00:00,491296,15928.93,16303.09,15744.86,16288.88,16023.975
181,20.1.32-16 22:00:00,420608,16288.88,16459.71,15800.81,15883.98,16130.259999999998
182,20.1.32-17 22:00:00,594327,15883.98,15976.29,15671.64,15846.91,15823.965
183,20.1.32-20 22:00:00,668083,15846.91,15871.25,15512.58,15694.85,15691.915
184,20.1.32-21 22:00:00,467858,15694.85,16005.15,15623.75,15993.13,15814.45
185,20.1.32-22 22:00:00,412992,15993.13,16200.8800000000.1.35900.244999999999,16197.49,16050.5625
186,20.1.32-23 22:00:00,281244,16197.49,16373.46,16163.79,16320.81,16268.625
187,20.1.32-27 22:00:00,287566,16320.81,16598.739999999998,16322.68,16588.39,16460.71
188,20.1.32-28 22:00:00,384388,16588.39,16676.47,16471.64,16530.02,16574.055
189,20.1.32-29 22:00:00,350270,16530.02,16582.17,16406.1,16499.53,16494.135
190,20.1.32-30 22:00:00,274238,16499.52,16585.769999999997,16429.989999999998,16448.87,16507.879999999997
191,20.1.32-31 22:00:00,277620,16448.88,16481.58,16365.89,16403.59,16423.735
192,2022-01-03 22:00:00,395634,16403.59,16526.25,16310.75,16513.88,16418.5
193,2022-01-04 22:00:00,489293,16513.88,16579.64,16156.68,16276.6,16368.16
194,2022-01-05 22:00:00,568838,16276.6,16284.64,15768.86,15769.79,16026.75
195,2022-01-06 22:00:00,648956,15769.79,15910.51,15616.09,15809.22,15763.3
196,2022-01-07 22:00:00,565177,15809.22,15868.14,15525.81,15592.39,15696.974999999999
197,2022-01-10 22:00:00,678073,15592.39,15683.689999999999,15168.01,15632.69,15425.849999999999
198,2022-01-11 22:00:00,628602,15632.69,15854.6500000000.1.35490.49,15840.4,15672.57
199,2022-01-12 22:00:00,628813,15840.4,16028.69,15782.349999999999,15916.24,15905.52
200,2022-01-13 22:00:00,575991,15916.24,15997.64,15478.16,15520.54,15737.9
201,2022-01-14 22:00:00,699774,15520.54,15630.009999999998,15328.32,15629.64,15479.164999999999
202,2022-01-17 22:00:00,147474,15629.64,15669.26,15523.765,15574.635,15596.5125
203,2022-01-18 22:00:00,780262,15574.635,15618.61,15186.93,15255.86,15402.77
204,2022-01-19 22:00:00,794986,15255.86,15386.779999999999,15027.82,15051.96,15207.3
205,2022-01-20 22:00:00,706288,15051.96,15356.21,14662.990000000002,14741.74,15009.6
206,2022-01-21 22:00:00,799456,14741.85,14874.35,14425.25,14443.25,14649.8
207,2022-01-24 22:00:00,956937,14443.15,14597.3,13722.9,14520.55,14160.099999999999
208,2022-01-25 22:00:00,864779,14520.55,14515.8,13907.45,13938.75,14211.625
209,2022-01-26 22:00:00,710178,13938.75,14656.4000000000.1.33963.0.1.368.45,14309.7
210,2022-01-27 22:00:00,1971440.1.368.45,14425.95,13862.75,14129.35,14144.35
211,2022-01-28 22:00:00,953033,14129.35,14458.75,13848.1500000000.1.34446.75,14153.45
212,2022-01-31 22:00:00,689863,14468.75,14929.25,14368.55,14881.25,14648.9
